,State_code,District_code,Area_name,Age_grp,T_P,T_M,T_F,R_P,R_M,R_F,U_P,U_M,U_F
212,11,000,State - SIKKIM (11),10-14,66923,33965,32958,52191,26588,25603,14732,7377,7355
213,11,000,State - SIKKIM (11),15-19,66937,33998,32939,50759,25943,24816,16178,8055,8123
214,11,000,State - SIKKIM (11),20-24,67297,35146,32151,49839,26301,23538,17458,8845,8613
215,11,000,State - SIKKIM (11),25-29,64639,34700,29939,46628,25475,21153,18011,9225,8786
717,11,000,State - SIKKIM (11),30-49,161866,88242,73624,115555,63197,52358,46311,25045,21266
211,11,000,State - SIKKIM (11),5-9,56678,28688,27990,44158,22334,21824,12520,6354,6166
718,11,000,State - SIKKIM (11),50-69,66006,36571,29435,50707,27966,22741,15299,8605,6694
719,11,000,State - SIKKIM (11),70+,16719,9438,7281,13793,7921,5872,2926,1517,1409
227,11,000,State - SIKKIM (11),Age not stated,1176,637,539,987,531,456,189,106,83
209,11,000,State - SIKKIM (11),All ages,610577,323070,287507,456999,242797,214202,153578,80273,73305
229,12,000,State - ARUNACHAL PRADESH (12),0-4,142879,72464,70415,115773,58593,57180,27106,13871,13235
231,12,000,State - ARUNACHAL PRADESH (12),10-14,179359,90439,88920,140026,70980,69046,39333,19459,19874
232,12,000,State - ARUNACHAL PRADESH (12),15-19,155968,78673,77295,116064,58961,57103,39904,19712,20192
233,12,000,State - ARUNACHAL PRADESH (12),20-24,131696,66033,65663,97891,49023,48868,33805,17010,16795
234,12,000,State - ARUNACHAL PRADESH (12),25-29,123714,63366,60348,90931,45974,44957,32783,17392,15391
720,12,000,State - ARUNACHAL PRADESH (12),30-49,337844,178707,159137,248963,128928,120035,88881,49779,39102
230,12,000,State - ARUNACHAL PRADESH (12),5-9,171123,86699,84424,138348,70237,68111,32775,16462,16313
721,12,000,State - ARUNACHAL PRADESH (12),50-69,116414,64617,51797,96416,51863,44553,19998,12754,7244
722,12,000,State - ARUNACHAL PRADESH (12),70+,23221,12055,11166,20753,10791,9962,2468,1264,1204
246,12,000,State - ARUNACHAL PRADESH (12),Age not stated,1509,859,650,1193,661,532,316,198,118
228,12,000,State - ARUNACHAL PRADESH (12),All ages,1383727,713912,669815,1066358,546011,520347,317369,167901,149468
248,13,000,State - NAGALAND (13),0-4,197262,101291,95971,147261,75981,71280,50001,25310,24691
250,13,000,State - NAGALAND (13),10-14,248671,129237,119434,181149,94658,86491,67522,34579,32943
251,13,000,State - NAGALAND (13),15-19,229622,117994,111628,161926,83359,78567,67696,34635,33061
