,State_Code,District_code,Area_name,Type,Age_grp,Total_Person,Total_Male,Total_Female,Illiterate_Person,Illiterate_Male,Illiterate_Female,Literate_Person,Literate_Male,Literate_Female,Literate but below primary_Person,Literate but below primary_Male,Literate but below primary_Female,Primary but below middle_Person,Primary but below middle_Male,Primary but below middle_Female,Middle but below matric/secondary_Person,Middle but below matric/secondary_Male,Middle but below matric/secondary_Female,Matric/Secondary but below graduate_Person,Matric/Secondary but below graduate_Male,Matric/Secondary but below graduate_Female,Graduate and above_Person,Graduate and above_Male,Graduate and above_Female
51,00,000,INDIA,Rural,25-29,66068270,33375989,32692281,18441149,5987783,12453366,47627121,27388206,20238915,4286782,2136666,2150116,10983190,5771904,5211286,10266012,6026580,4239432,13859842,8460006,5399836,5166973,3318985,1847988
52,00,000,INDIA,Rural,30-34,57911779,28934192,28977587,19943020,6464972,13478048,37968759,22469220,15499539,4108307,2045941,2062366,9180932,4864035,4316897,8056075,4898327,3157748,10631054,6886877,3744177,3404574,2357229,1047345
53,00,000,INDIA,Rural,35-39,56062707,28125561,27937146,22680010,7558902,15121108,33382697,20566659,12816038,4315593,2228899,2086694,8448819,4611959,3836860,6722032,4275069,2446963,8919065,6185157,2733908,2564887,1921704,643183
54,00,000,INDIA,Rural,40-44,47581008,24565235,23015773,21789586,7868267,13921319,25791422,16696968,9094454,3965050,2198068,1766982,6757286,3894331,2862955,4859991,3270323,1589668,6381061,4711300,1669761,1851006,1481737,369269
55,00,000,INDIA,Rural,45-49,40688228,20864270,19823958,20311063,7370966,12940097,20377165,13493304,6883861,3642735,2115694,1527041,5722530,3431725,2290805,3588977,2491622,1097355,4487900,3423388,1064512,1291524,1077689,213835
56,00,000,INDIA,Rural,50-54,32031788,16789547,15242241,16907830,6445133,10462697,15123958,10344414,4779544,2907968,1750517,1157451,4398000,2767774,1630226,2552413,1850724,701689,3138577,2486486,652091,860737,737347,123390
57,00,000,INDIA,Rural,55-59,25861514,12536529,13324985,14485919,4739716,9746203,11375595,7796813,3578782,2283225,1348346,934879,3304224,2072099,1232125,1795391,1323961,471430,2341363,1911082,430281,656551,575487,81064
58,00,000,INDIA,Rural,60-64,26291245,12931592,13359653,16517851,5952423,10565428,9773394,6979169,2794225,2198570,1379589,818981,2969255,2009936,959319,1407367,1100696,306671,1758863,1507685,251178,457757,412171,45586
59,00,000,INDIA,Rural,65-69,18916270,9208311,9707959,12332550,4418883,7913667,6583720,4789428,1794292,1703269,1121884,581385,1958334,1397186,561148,867092,691905,175187,1080973,932665,148308,250631,229291,21340
60,00,000,INDIA,Rural,70-74,13807600,6978179,6829421,9543195,3758529,5784666,4264405,3219650,1044755,1203339,846866,356473,1289046,977884,311162,501415,418614,82801,606715,537090,69625,139436,127638,11798
61,00,000,INDIA,Rural,75-79,6383717,3113424,3270293,4353384,1609876,2743508,2030333,1503548,526785,627103,435606,191497,599072,449579,149493,223969,185216,38753,267909,233206,34703,59073,53628,5445
62,00,000,INDIA,Rural,80+,7894990,3765796,4129194,5489140,2071534,3417606,2405850,1694262,711588,695659,478786,216873,698896,505337,193559,295938,220728,75210,316041,245073,70968,75489,59683,15806
63,00,000,INDIA,Rural,Age not stated,2913452,1533420,1380032,1183642,488448,695194,1729810,1044972,684838,316234,170871,145363,335895,186129,149766,235098,144839,90259,305806,198770,107036,91179,62785,28394
64,00,000,INDIA,Urban,All ages,377106125,195489200,181616925,96261148,42086952,54174196,280844977,153402248,127442729,37253599,19338314,17915285,53905683,27505990,26399693,43559468,23765201,19794267,86954722,49421079,37533643,45949004,26461165,19487839
65,00,000,INDIA,Urban,0-6,43192388,22667805,20524583,43192388,22667805,20524583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,00,000,INDIA,Urban,7,6676796,3503597,3173199,1452958,746245,706713,5223838,2757352,2466486,5059312,2662188,2397124,0,0,0,0,0,0,0,0,0,0,0,0
67,00,000,INDIA,Urban,8,6761392,3564919,3196473,792064,400644,391420,5969328,3164275,2805053,5850464,3095769,2754695,0,0,0,0,0,0,0,0,0,0,0,0
68,00,000,INDIA,Urban,9,6310056,3334583,2975473,524904,265377,259527,5785152,3069206,2715946,4906633,2616639,2289994,775626,393375,382251,0,0,0,0,0,0,0,0,0
69,00,000,INDIA,Urban,10,7864341,4189678,3674663,709484,361571,347913,7154857,3828107,3326750,4266343,2328523,1937820,2758243,1423940,1334303,0,0,0,0,0,0,0,0,0
70,00,000,INDIA,Urban,11,6889633,3643006,3246627,434836,218432,216404,6454797,3424574,3030223,1778001,988858,789143,4568979,2373721,2195258,0,0,0,0,0,0,0,0,0
71,00,000,INDIA,Urban,12,7287988,3856442,3431546,477061,239875,237186,6810927,3616567,3194360,938252,528085,410167,4824289,2551421,2272868,935765,472602,463163,0,0,0,0,0,0
72,00,000,INDIA,Urban,13,6790510,3539391,3251119,383814,186615,197199,6406696,3352776,3053920,450221,249881,200340,3440680,1835493,1605187,2412014,1209216,1202798,0,0,0,0,0,0
73,00,000,INDIA,Urban,14,7072246,3702160,3370086,442933,215864,227069,6629313,3486296,3143017,305540,169701,135839,1867519,1021263,846256,4338443,2229626,2108817,0,0,0,0,0,0
74,00,000,INDIA,Urban,15,7305808,3866078,3439730,525846,261626,264220,6779962,3604452,3175510,260916,148185,112731,1133388,627908,505480,3120945,1682210,1438735,2127935,1068779,1059156,0,0,0
75,00,000,INDIA,Urban,16,7158494,3774150,3384344,518861,256789,262072,6639633,3517361,3122272,251416,140632,110784,843811,462851,380960,1824563,1013704,810859,3569649,1816057,1753592,0,0,0
76,00,000,INDIA,Urban,17,6768694,3595172,3173522,454428,225711,228717,6314266,3369461,2944805,223618,126998,96620,686718,381437,305281,1100490,624135,476355,4142377,2146636,1995741,0,0,0
77,00,000,INDIA,Urban,18,8398533,4502228,3896305,743829,365846,377983,7654704,4136382,3518322,290716,170425,120291,948949,535077,413872,1161223,664388,496835,5013879,2632574,2381305,0,0,0
78,00,000,INDIA,Urban,19,6992448,3674211,3318237,537542,244404,293138,6454906,3429807,3025099,210936,118430,92506,729701,395955,333746,852579,474912,377667,4441852,2321646,2120206,0,0,0
79,00,000,INDIA,Urban,20-24,37589176,19446031,18143145,3601967,1503330,2098637,33987209,17942701,16044508,1181508,637980,543528,4291184,2259522,2031662,4740912,2614373,2126539,14614942,7883228,6731714,7699878,3785568,3914310
80,00,000,INDIA,Urban,25-29,35345695,17968219,17377476,4193291,1574556,2618735,31152404,16393663,14758741,1213772,601269,612503,4227169,2112934,2114235,4612610,2501392,2111218,10423318,5704984,4718334,8952801,4584767,4368034
81,00,000,INDIA,Urban,30-34,30683172,15726482,14956690,4386540,1565778,2820762,26296632,14160704,12135928,1191802,566889,624913,3770440,1839927,1930513,3914857,2134524,1780333,9013967,5106585,3907382,6937414,3755346,3182068
