Player_id,avg_kills,total_kills,lowest_death_avg,highest_assists_avg,total_assists,total_last_hits,most_last_hit_avg,total_gpm,highest_gpm_avg
34505203,6.916666666666667,166,4.458333333333333,12.125,291,4778,199.08333333333334,11166,465.25
116585378,6.884615384615385,179,4.6923076923076925,12.384615384615385,322,7544,290.15384615384613,13663,525.5
132309493,6.823529411764706,116,3.1176470588235294,7.176470588235294,122,5689,334.6470588235294,9037,531.5882352941177
129958758,6.777777777777778,122,4.666666666666667,8.555555555555555,154,5770,320.55555555555554,10336,574.2222222222222
130801103,6.761904761904762,142,5.0,8.238095238095237,173,3280,156.1904761904762,8476,403.6190476190476
87285329,6.75,162,3.5416666666666665,9.041666666666666,217,5716,238.16666666666666,12099,504.125
92423451,6.64,166,3.36,11.88,297,4704,188.16,11220,448.8
137272985,6.588235294117647,112,4.235294117647059,9.529411764705882,162,4296,252.7058823529412,8331,490.05882352941177
86698277,6.541666666666667,157,4.625,9.458333333333334,227,4591,191.29166666666666,10633,443.0416666666667
124936122,6.315789473684211,120,4.2631578947368425,8.263157894736842,157,4512,237.47368421052633,9188,483.57894736842104
94004717,6.3125,101,6.125,9.8125,157,5410,338.125,8738,546.125
113457795,6.157894736842105,117,4.947368421052632,9.421052631578947,179,6480,341.05263157894734,10793,568.0526315789474
137193239,6.1,122,3.15,9.85,197,5253,262.65,10003,500.15
87276347,6.0588235294117645,103,3.764705882352941,12.058823529411764,205,3483,204.88235294117646,7537,443.3529411764706
102099826,5.705882352941177,97,5.352941176470588,13.647058823529411,232,1650,97.05882352941177,5724,336.70588235294116
88271237,5.448275862068965,158,5.586206896551724,13.758620689655173,399,6022,207.6551724137931,12894,444.62068965517244
187619311,5.294117647058823,90,3.8823529411764706,10.588235294117647,180,4239,249.35294117647058,7646,449.7647058823529
10366616,5.181818181818182,114,5.681818181818182,14.363636363636363,316,5278,239.9090909090909,10591,481.40909090909093
89269794,5.142857142857143,108,5.0,9.333333333333334,196,5122,243.9047619047619,10024,477.3333333333333
101695162,5.066666666666666,152,6.166666666666667,17.533333333333335,526,2562,85.4,10484,349.46666666666664
168028715,5.0,95,4.7894736842105265,9.157894736842104,174,4593,241.73684210526315,9239,486.2631578947368
87012746,4.947368421052632,94,4.842105263157895,12.105263157894736,230,4265,224.47368421052633,8480,446.3157894736842
117956848,4.75,76,7.0,9.1875,147,3352,209.5,6902,431.375
43276219,4.705882352941177,80,5.588235294117647,8.294117647058824,141,5021,295.3529411764706,8096,476.2352941176471
182331313,4.647058823529412,79,5.647058823529412,12.647058823529411,215,1467,86.29411764705883,5562,327.1764705882353
89117038,4.615384615384615,120,4.6923076923076925,16.46153846153846,428,2083,80.11538461538461,7981,306.96153846153845
156662698,4.333333333333333,78,5.611111111111111,10.166666666666666,183,3259,181.05555555555554,6923,384.6111111111111
134276083,4.25,85,7.1,10.15,203,4179,208.95,8462,423.1
84772440,4.2105263157894735,80,5.7894736842105265,12.368421052631579,235,4133,217.52631578947367,8085,425.5263157894737
139876032,4.2105263157894735,80,7.052631578947368,13.473684210526315,256,1770,93.15789473684211,6230,327.89473684210526
25907144,4.111111111111111,111,6.555555555555555,19.11111111111111,516,1411,52.25925925925926,8211,304.1111111111111
100471531,4.105263157894737,78,7.473684210526316,11.842105263157896,225,1480,77.89473684210526,5916,311.36842105263156
139937922,4.0,68,5.882352941176471,12.0,204,3364,197.88235294117646,6885,405.0
138543123,4.0,76,6.684210526315789,12.0,228,1178,62.0,5437,286.1578947368421
26771994,3.896551724137931,113,6.655172413793103,14.793103448275861,429,2243,77.34482758620689,9510,327.9310344827586
159020918,3.76,94,5.8,15.12,378,1300,52.0,7092,283.68
86726887,3.727272727272727,82,5.590909090909091,13.909090909090908,306,1543,70.13636363636364,7103,322.8636363636364
19672354,3.7241379310344827,108,9.551724137931034,14.758620689655173,428,1904,65.65517241379311,8713,300.44827586206895
207829314,3.611111111111111,65,5.777777777777778,13.555555555555555,244,1417,78.72222222222223,5169,287.1666666666667
