match_id,result,Ban_T1_1,Ban_T1_2,Ban_T1_3,Ban_T1_4,Ban_T1_5,Ban_T2_1,Ban_T2_2,Ban_T2_3,Ban_T2_4,Ban_T2_5,Pick_T1_1,Pick_T1_2,Pick_T1_3,Pick_T1_4,Pick_T1_5,Pick_T2_1,Pick_T2_2,Pick_T2_3,Pick_T2_4,Pick_T2_5
2569011425.0,Radiant,6.0,91.0,17.0,73.0,74.0,103.0,98.0,90.0,55.0,59.0,9.0,89.0,111.0,29.0,15.0,79.0,41.0,23.0,48.0,39.0
2569119771.0,Dire,6.0,65.0,17.0,109.0,59.0,9.0,98.0,74.0,73.0,97.0,41.0,84.0,30.0,93.0,64.0,103.0,38.0,50.0,18.0,94.0
2569227952.0,Radiant,6.0,65.0,17.0,112.0,15.0,98.0,9.0,74.0,73.0,18.0,38.0,79.0,70.0,23.0,93.0,103.0,29.0,50.0,109.0,78.0
2569415435.0,Radiant,6.0,9.0,65.0,88.0,54.0,79.0,103.0,10.0,89.0,43.0,98.0,90.0,84.0,41.0,101.0,91.0,17.0,28.0,75.0,14.0
2569470828.0,Radiant,103.0,38.0,29.0,55.0,23.0,6.0,90.0,59.0,98.0,66.0,111.0,41.0,74.0,16.0,28.0,9.0,89.0,79.0,69.0,15.0
2569531910.0,Radiant,103.0,38.0,79.0,10.0,70.0,6.0,90.0,74.0,65.0,59.0,111.0,41.0,23.0,43.0,88.0,9.0,98.0,112.0,16.0,56.0
2569610900.0,Dire,6.0,41.0,8.0,74.0,17.0,79.0,38.0,111.0,23.0,28.0,9.0,98.0,20.0,93.0,60.0,103.0,65.0,90.0,1.0,2.0
2546940273.0,Radiant,6.0,91.0,59.0,89.0,1.0,103.0,9.0,55.0,29.0,111.0,84.0,8.0,88.0,10.0,79.0,65.0,107.0,110.0,15.0,104.0
2547040899.0,Radiant,17.0,55.0,54.0,68.0,74.0,6.0,91.0,59.0,41.0,43.0,103.0,8.0,111.0,29.0,18.0,65.0,84.0,50.0,77.0,98.0
2546938575.0,Radiant,103.0,6.0,17.0,49.0,41.0,90.0,23.0,73.0,89.0,68.0,9.0,111.0,16.0,98.0,47.0,91.0,65.0,50.0,59.0,28.0
