match_id,result,Ban_T1_1,Ban_T1_2,Ban_T1_3,Ban_T1_4,Ban_T1_5,Ban_T1_6,Ban_T2_1,Ban_T2_2,Ban_T2_3,Ban_T2_4,Ban_T2_5,Ban_T2_6,Pick_T1_1,Pick_T1_2,Pick_T1_3,Pick_T1_4,Pick_T1_5,Pick_T2_1,Pick_T2_2,Pick_T2_3,Pick_T2_4,Pick_T2_5
4980541717.0,Dire,72.0,84.0,103.0,54.0,18.0,89.0,58.0,29.0,79.0,73.0,94.0,57.0,52.0,27.0,37.0,42.0,102.0,96.0,86.0,26.0,23.0,109.0
4980637380.0,Dire,72.0,52.0,79.0,41.0,54.0,19.0,96.0,58.0,29.0,37.0,23.0,15.0,9.0,16.0,18.0,26.0,36.0,103.0,84.0,64.0,67.0,49.0
4980773381.0,Radiant,97.0,91.0,73.0,67.0,65.0,22.0,52.0,89.0,103.0,54.0,23.0,19.0,58.0,107.0,5.0,109.0,25.0,121.0,83.0,44.0,7.0,74.0
4980888053.0,Radiant,52.0,89.0,68.0,16.0,23.0,76.0,97.0,91.0,73.0,106.0,67.0,65.0,58.0,7.0,41.0,19.0,111.0,103.0,9.0,84.0,72.0,109.0
4981028582.0,Radiant,52.0,89.0,103.0,79.0,96.0,61.0,97.0,91.0,73.0,41.0,7.0,111.0,58.0,74.0,86.0,8.0,16.0,19.0,9.0,5.0,119.0,1.0
4983628610.0,Dire,52.0,79.0,84.0,89.0,67.0,18.0,91.0,58.0,97.0,19.0,74.0,50.0,103.0,41.0,120.0,53.0,22.0,29.0,26.0,111.0,72.0,106.0
4983729131.0,Dire,91.0,58.0,97.0,67.0,41.0,114.0,52.0,84.0,103.0,54.0,68.0,23.0,79.0,16.0,64.0,18.0,49.0,66.0,19.0,73.0,55.0,71.0
4983800597.0,Radiant,68.0,52.0,84.0,54.0,72.0,41.0,91.0,58.0,97.0,55.0,74.0,50.0,66.0,73.0,29.0,86.0,104.0,103.0,19.0,79.0,16.0,93.0
4977207666.0,Radiant,25.0,10.0,33.0,68.0,61.0,99.0,58.0,103.0,9.0,42.0,73.0,,52.0,102.0,79.0,106.0,1.0,119.0,41.0,5.0,17.0,72.0
4977344912.0,Radiant,9.0,84.0,19.0,106.0,10.0,94.0,38.0,79.0,73.0,111.0,66.0,15.0,91.0,72.0,29.0,27.0,36.0,103.0,52.0,33.0,98.0,23.0
4977501535.0,Dire,97.0,73.0,19.0,52.0,93.0,106.0,53.0,38.0,79.0,98.0,25.0,102.0,44.0,30.0,23.0,86.0,57.0,58.0,42.0,100.0,65.0,46.0
4977648828.0,Dire,19.0,9.0,58.0,54.0,57.0,106.0,83.0,73.0,15.0,50.0,41.0,61.0,37.0,107.0,38.0,18.0,35.0,79.0,84.0,42.0,33.0,25.0
4978802370.0,Radiant,97.0,91.0,96.0,93.0,3.0,76.0,58.0,9.0,37.0,23.0,75.0,106.0,79.0,73.0,52.0,102.0,27.0,29.0,33.0,84.0,54.0,17.0
4978884253.0,Radiant,97.0,91.0,29.0,10.0,27.0,76.0,9.0,58.0,73.0,54.0,93.0,23.0,79.0,52.0,103.0,41.0,57.0,37.0,96.0,19.0,72.0,42.0
