,i,j
259,BR_Bhojpur,BR_Patna
260,BR_Bhojpur,BR_Rohtas
261,BR_Bhojpur,BR_Saran
262,BR_Bhojpur,UP_Ballia
263,BR_Buxar,BR_Kaimur
264,BR_Buxar,BR_Rohtas
265,BR_Buxar,UP_Ballia
266,BR_Buxar,UP_Ghazipur
267,BR_Darbhanga,BR_Madhubani
268,BR_Darbhanga,BR_Muzaffarpur
269,BR_Darbhanga,BR_Saharsa
270,BR_Darbhanga,BR_Samastipur
271,BR_Darbhanga,BR_Sitamarhi
272,BR_East Champaran,BR_Gopalganj
273,BR_East Champaran,BR_Muzaffarpur
274,BR_East Champaran,BR_Sheohar
275,BR_East Champaran,BR_Sitamarhi
276,BR_East Champaran,BR_West Champaran
277,BR_Gaya,BR_Jehanabad
278,BR_Gaya,BR_Nalanda
279,BR_Gaya,BR_Nawada
280,BR_Gaya,JH_Chatra
281,BR_Gaya,JH_Hazaribagh
282,BR_Gaya,JH_Koderma
283,BR_Gaya,JH_Palamu
284,BR_Gopalganj,BR_Muzaffarpur
285,BR_Gopalganj,BR_Saran
286,BR_Gopalganj,BR_Siwan
287,BR_Gopalganj,BR_West Champaran
288,BR_Gopalganj,UP_Deoria
289,BR_Gopalganj,UP_Kushinagar
290,BR_Jamui,BR_Lakhisarai
291,BR_Jamui,BR_Munger
292,BR_Jamui,BR_Nawada
293,BR_Jamui,BR_Sheikhpura
294,BR_Jamui,JH_Deoghar
295,BR_Jamui,JH_Giridih
296,BR_Jehanabad,BR_Nalanda
297,BR_Jehanabad,BR_Patna
298,BR_Kaimur,BR_Rohtas
299,BR_Kaimur,UP_Chandauli
300,BR_Kaimur,UP_Ghazipur
301,BR_Kaimur,UP_Sonbhadra
302,BR_Katihar,BR_Purnia
303,BR_Katihar,JH_Sahibganj
304,BR_Katihar,WB_Malda
305,BR_Katihar,WB_Uttar Dinajpur
306,BR_Khagaria,BR_Madhepura
307,BR_Khagaria,BR_Munger
308,BR_Khagaria,BR_Saharsa
309,BR_Khagaria,BR_Samastipur
310,BR_Kishanganj,BR_Purnia
311,BR_Kishanganj,WB_Darjeeling
312,BR_Kishanganj,WB_Uttar Dinajpur
313,BR_Lakhisarai,BR_Munger
314,BR_Lakhisarai,BR_Nalanda
315,BR_Lakhisarai,BR_Patna
316,BR_Lakhisarai,BR_Sheikhpura
317,BR_Madhepura,BR_Purnia
318,BR_Madhepura,BR_Saharsa
319,BR_Madhepura,BR_Supaul
320,BR_Madhubani,BR_Saharsa
321,BR_Madhubani,BR_Sitamarhi
322,BR_Madhubani,BR_Supaul
323,BR_Muzaffarpur,BR_Samastipur
324,BR_Muzaffarpur,BR_Saran
325,BR_Muzaffarpur,BR_Sheohar
326,BR_Muzaffarpur,BR_Sitamarhi
327,BR_Muzaffarpur,BR_Vaishali
328,BR_Nalanda,BR_Nawada
329,BR_Nalanda,BR_Patna
330,BR_Nalanda,BR_Sheikhpura
331,BR_Nawada,BR_Sheikhpura
332,BR_Nawada,JH_Giridih
333,BR_Nawada,JH_Koderma
334,BR_Patna,BR_Samastipur
335,BR_Patna,BR_Saran
336,BR_Patna,BR_Vaishali
337,BR_Purnia,WB_Uttar Dinajpur
338,BR_Rohtas,JH_Garhwa
339,BR_Rohtas,JH_Palamu
340,BR_Rohtas,UP_Sonbhadra
341,BR_Saharsa,BR_Samastipur
342,BR_Saharsa,BR_Supaul
343,BR_Samastipur,BR_Vaishali
344,BR_Saran,BR_Siwan
345,BR_Saran,BR_Vaishali
346,BR_Saran,UP_Ballia
347,BR_Sheohar,BR_Sitamarhi
348,BR_Siwan,UP_Ballia
349,BR_Siwan,UP_Deoria
350,BR_West Champaran,UP_Kushinagar
351,BR_West Champaran,UP_Maharajganj
352,CH_Chandigarh,HR_Panchkula
353,CH_Chandigarh,PB_S.A.S. Nagar
354,CT_Balod,CT_Dhamtari
355,CT_Balod,CT_Durg
356,CT_Balod,CT_Rajnandgaon
357,CT_Balod,CT_Uttar Bastar Kanker
358,CT_Baloda Bazar,CT_Bametara
359,CT_Baloda Bazar,CT_Bilaspur
360,CT_Baloda Bazar,CT_Janjgir Champa
361,CT_Baloda Bazar,CT_Mahasamund
362,CT_Baloda Bazar,CT_Mungeli
363,CT_Baloda Bazar,CT_Raigarh
364,CT_Baloda Bazar,CT_Raipur
365,CT_Balrampur,CT_Jashpur
366,CT_Balrampur,CT_Surajpur
367,CT_Balrampur,CT_Surguja
368,CT_Balrampur,JH_Garhwa
369,CT_Balrampur,JH_Gumla
370,CT_Balrampur,JH_Latehar
371,CT_Balrampur,MP_Singrauli
372,CT_Balrampur,UP_Sonbhadra
373,CT_Bametara,CT_Durg
374,CT_Bametara,CT_Kabeerdham
375,CT_Bametara,CT_Mungeli
376,CT_Bametara,CT_Raipur
377,CT_Bametara,CT_Rajnandgaon
378,CT_Bastar,CT_Dakshin Bastar Dantewada
379,CT_Bastar,CT_Kondagaon
380,CT_Bastar,CT_Sukma
381,CT_Bastar,OR_Koraput
382,CT_Bastar,OR_Malkangiri
383,CT_Bastar,OR_Nabarangapur
384,CT_Bijapur,KA_Bagalkote
385,CT_Bijapur,KA_Belagavi
386,CT_Bijapur,KA_Kalaburagi
387,CT_Bijapur,KA_Raichur
388,CT_Bijapur,KA_Yadgir
389,CT_Bijapur,MH_Sangli
390,CT_Bijapur,MH_Solapur
391,CT_Bilaspur,CT_Janjgir Champa
392,CT_Bilaspur,CT_Korba
393,CT_Bilaspur,CT_Koriya
394,CT_Bilaspur,CT_Mungeli
395,CT_Bilaspur,MP_Anuppur
396,CT_Dakshin Bastar Dantewada,CT_Bijapur
397,CT_Dakshin Bastar Dantewada,CT_Kondagaon
398,CT_Dakshin Bastar Dantewada,CT_Narayanpur
399,CT_Dakshin Bastar Dantewada,CT_Sukma
400,CT_Dhamtari,CT_Durg
401,CT_Dhamtari,CT_Gariaband
402,CT_Dhamtari,CT_Kondagaon
403,CT_Dhamtari,CT_Raipur
404,CT_Dhamtari,CT_Uttar Bastar Kanker
405,CT_Dhamtari,OR_Nabarangapur
406,CT_Durg,CT_Raipur
407,CT_Durg,CT_Rajnandgaon
408,CT_Gariaband,CT_Mahasamund
409,CT_Gariaband,CT_Raipur
410,CT_Gariaband,OR_Kalahandi
411,CT_Gariaband,OR_Nabarangapur
412,CT_Gariaband,OR_Nuapada
413,CT_Janjgir Champa,CT_Korba
414,CT_Janjgir Champa,CT_Raigarh
415,CT_Jashpur,CT_Raigarh
416,CT_Jashpur,CT_Surguja
417,CT_Jashpur,JH_Gumla
418,CT_Jashpur,JH_Simdega
419,CT_Jashpur,OR_Sundargarh
420,CT_Kabeerdham,CT_Mungeli
421,CT_Kabeerdham,CT_Rajnandgaon
422,CT_Kabeerdham,MP_Balaghat
423,CT_Kabeerdham,MP_Dindori
424,CT_Kabeerdham,MP_Mandla
425,CT_Kondagaon,CT_Narayanpur
426,CT_Kondagaon,CT_Uttar Bastar Kanker
427,CT_Kondagaon,OR_Nabarangapur
428,CT_Korba,CT_Koriya
429,CT_Korba,CT_Raigarh
430,CT_Korba,CT_Surajpur
431,CT_Korba,CT_Surguja
432,CT_Koriya,CT_Surajpur
433,CT_Koriya,MP_Anuppur
434,CT_Koriya,MP_Shahdol
435,CT_Koriya,MP_Sidhi
436,CT_Koriya,MP_Singrauli
437,CT_Mahasamund,CT_Raigarh
438,CT_Mahasamund,CT_Raipur
439,CT_Mahasamund,OR_Bargarh
440,CT_Mahasamund,OR_Nuapada
441,CT_Mungeli,MP_Anuppur
442,CT_Mungeli,MP_Dindori
443,CT_Narayanpur,CT_Bijapur
444,CT_Narayanpur,CT_Uttar Bastar Kanker
445,CT_Narayanpur,MH_Gadchiroli
446,CT_Raigarh,CT_Surguja
447,CT_Raigarh,OR_Bargarh
448,CT_Raigarh,OR_Jharsuguda
449,CT_Raigarh,OR_Sundargarh
450,CT_Rajnandgaon,CT_Uttar Bastar Kanker
451,CT_Rajnandgaon,MH_Gadchiroli
452,CT_Rajnandgaon,MH_Gondia
453,CT_Rajnandgaon,MP_Balaghat
454,CT_Sukma,CT_Bijapur
455,CT_Sukma,OR_Malkangiri
456,CT_Sukma,TG_Bhadradri Kothagudem
457,CT_Surajpur,CT_Surguja
458,CT_Surajpur,MP_Singrauli
459,CT_Uttar Bastar Kanker,MH_Gadchiroli
460,DL_Central Delhi,DL_East Delhi
461,DL_Central Delhi,DL_New Delhi
462,DL_Central Delhi,DL_North Delhi
463,DL_Central Delhi,DL_North East Delhi
464,DL_Central Delhi,DL_North West Delhi
465,DL_Central Delhi,DL_Shahdara
466,DL_Central Delhi,DL_South East Delhi
467,DL_Central Delhi,DL_West Delhi
468,DL_East Delhi,DL_Shahdara
469,DL_East Delhi,DL_South East Delhi
470,DL_East Delhi,UP_Gautam Buddha Nagar
471,DL_East Delhi,UP_Ghaziabad
472,DL_New Delhi,DL_South Delhi
473,DL_New Delhi,DL_South East Delhi
474,DL_New Delhi,DL_South West Delhi
475,DL_New Delhi,DL_West Delhi
476,DL_New Delhi,HR_Gurugram
477,DL_North Delhi,DL_North East Delhi
478,DL_North Delhi,DL_North West Delhi
