,i,j
1330,OR_Balangir,OR_Subarnapur
1331,OR_Balasore,OR_Bhadrak
1332,OR_Balasore,OR_Kendujhar
1333,OR_Balasore,OR_Mayurbhanj
1334,OR_Balasore,WB_Jhargram
1335,OR_Balasore,WB_Paschim Medinipur
1336,OR_Balasore,WB_Purba Medinipur
1337,OR_Bargarh,OR_Jharsuguda
1338,OR_Bargarh,OR_Nuapada
1339,OR_Bargarh,OR_Sambalpur
1340,OR_Bargarh,OR_Subarnapur
1341,OR_Bhadrak,OR_Jajpur
1342,OR_Bhadrak,OR_Kendrapara
1343,OR_Bhadrak,OR_Kendujhar
1344,OR_Boudh,OR_Kandhamal
1345,OR_Boudh,OR_Nayagarh
1346,OR_Boudh,OR_Subarnapur
1347,OR_Cuttack,OR_Dhenkanal
1348,OR_Cuttack,OR_Jagatsinghpur
1349,OR_Cuttack,OR_Jajpur
1350,OR_Cuttack,OR_Kendrapara
1351,OR_Cuttack,OR_Khordha
1352,OR_Cuttack,OR_Nayagarh
1353,OR_Cuttack,OR_Puri
1354,OR_Deogarh,OR_Sambalpur
1355,OR_Deogarh,OR_Sundargarh
1356,OR_Dhenkanal,OR_Jajpur
1357,OR_Dhenkanal,OR_Kendujhar
1358,OR_Gajapati,OR_Ganjam
1359,OR_Gajapati,OR_Kandhamal
1360,OR_Gajapati,OR_Rayagada
1361,OR_Ganjam,OR_Kandhamal
1362,OR_Ganjam,OR_Khordha
1363,OR_Ganjam,OR_Nayagarh
1364,OR_Ganjam,OR_Puri
1365,OR_Jagatsinghpur,OR_Kendrapara
1366,OR_Jagatsinghpur,OR_Puri
1367,OR_Jajpur,OR_Kendrapara
1368,OR_Jajpur,OR_Kendujhar
1369,OR_Jharsuguda,OR_Sambalpur
1370,OR_Jharsuguda,OR_Sundargarh
1371,OR_Kalahandi,OR_Kandhamal
1372,OR_Kalahandi,OR_Koraput
1373,OR_Kalahandi,OR_Nabarangapur
1374,OR_Kalahandi,OR_Nuapada
1375,OR_Kalahandi,OR_Rayagada
1376,OR_Kandhamal,OR_Nayagarh
1377,OR_Kandhamal,OR_Rayagada
1378,OR_Kendujhar,OR_Mayurbhanj
1379,OR_Kendujhar,OR_Sundargarh
1380,OR_Khordha,OR_Nayagarh
1381,OR_Khordha,OR_Puri
1382,OR_Koraput,OR_Malkangiri
1383,OR_Koraput,OR_Nabarangapur
1384,OR_Koraput,OR_Rayagada
1385,OR_Mayurbhanj,WB_Jhargram
1386,OR_Sambalpur,OR_Subarnapur
1387,OR_Sambalpur,OR_Sundargarh
1388,PB_Amritsar,PB_Gurdaspur
1389,PB_Amritsar,PB_Kapurthala
1390,PB_Amritsar,PB_Tarn Taran
1391,PB_Barnala,PB_Bathinda
1392,PB_Barnala,PB_Ludhiana
1393,PB_Barnala,PB_Mansa
1394,PB_Barnala,PB_Moga
1395,PB_Barnala,PB_Sangrur
1396,PB_Bathinda,PB_Faridkot
1397,PB_Bathinda,PB_Mansa
1398,PB_Bathinda,PB_Moga
1399,PB_Bathinda,PB_Sri Muktsar Sahib
1400,PB_Faridkot,PB_Ferozepur
1401,PB_Faridkot,PB_Moga
1402,PB_Faridkot,PB_Sri Muktsar Sahib
1403,PB_Fatehgarh Sahib,PB_Ludhiana
1404,PB_Fatehgarh Sahib,PB_Patiala
1405,PB_Fatehgarh Sahib,PB_Rupnagar
1406,PB_Fatehgarh Sahib,PB_S.A.S. Nagar
1407,PB_Fatehgarh Sahib,PB_Sangrur
1408,PB_Fazilka,PB_Ferozepur
1409,PB_Fazilka,PB_Sri Muktsar Sahib
1410,PB_Fazilka,RJ_Ganganagar
1411,PB_Fazilka,RJ_Hanumangarh
1412,PB_Ferozepur,PB_Jalandhar
1413,PB_Ferozepur,PB_Kapurthala
1414,PB_Ferozepur,PB_Moga
1415,PB_Ferozepur,PB_Sri Muktsar Sahib
1416,PB_Ferozepur,PB_Tarn Taran
1417,PB_Gurdaspur,PB_Hoshiarpur
1418,PB_Gurdaspur,PB_Kapurthala
1419,PB_Gurdaspur,PB_Pathankot
1420,PB_Hoshiarpur,PB_Jalandhar
1421,PB_Hoshiarpur,PB_Kapurthala
1422,PB_Hoshiarpur,PB_Rupnagar
1423,PB_Hoshiarpur,PB_Shahid Bhagat Singh Nagar
1424,PB_Jalandhar,PB_Kapurthala
1425,PB_Jalandhar,PB_Ludhiana
1426,PB_Jalandhar,PB_Moga
1427,PB_Jalandhar,PB_Shahid Bhagat Singh Nagar
1428,PB_Kapurthala,PB_Shahid Bhagat Singh Nagar
1429,PB_Kapurthala,PB_Tarn Taran
1430,PB_Ludhiana,PB_Moga
1431,PB_Ludhiana,PB_Rupnagar
1432,PB_Ludhiana,PB_Sangrur
1433,PB_Ludhiana,PB_Shahid Bhagat Singh Nagar
1434,PB_Mansa,PB_Sangrur
1435,PB_Patiala,PB_S.A.S. Nagar
1436,PB_Patiala,PB_Sangrur
1437,PB_Rupnagar,PB_S.A.S. Nagar
1438,PB_Rupnagar,PB_Shahid Bhagat Singh Nagar
1439,PB_Sri Muktsar Sahib,RJ_Hanumangarh
1440,PY_Karaikal,TN_Nagapattinam
1441,PY_Karaikal,TN_Thiruvarur
1442,PY_Puducherry,TN_Cuddalore
1443,PY_Puducherry,TN_Viluppuram
1444,RJ_Ajmer,RJ_Bhilwara
1445,RJ_Ajmer,RJ_Jaipur
1446,RJ_Ajmer,RJ_Nagaur
1447,RJ_Ajmer,RJ_Pali
1448,RJ_Ajmer,RJ_Rajsamand
1449,RJ_Ajmer,RJ_Tonk
1450,RJ_Alwar,RJ_Bharatpur
1451,RJ_Alwar,RJ_Dausa
1452,RJ_Alwar,RJ_Jaipur
1453,RJ_Banswara,RJ_Dungarpur
1454,RJ_Banswara,RJ_Pratapgarh
1455,RJ_Baran,RJ_Jhalawar
1456,RJ_Baran,RJ_Kota
1457,RJ_Barmer,RJ_Jaisalmer
1458,RJ_Barmer,RJ_Jalore
1459,RJ_Barmer,RJ_Jodhpur
1460,RJ_Barmer,RJ_Pali
1461,RJ_Bharatpur,RJ_Dausa
1462,RJ_Bharatpur,RJ_Dholpur
1463,RJ_Bharatpur,RJ_Karauli
1464,RJ_Bharatpur,UP_Agra
1465,RJ_Bharatpur,UP_Mathura
1466,RJ_Bhilwara,RJ_Bundi
1467,RJ_Bhilwara,RJ_Chittorgarh
1468,RJ_Bhilwara,RJ_Rajsamand
1469,RJ_Bhilwara,RJ_Tonk
1470,RJ_Bikaner,RJ_Churu
1471,RJ_Bikaner,RJ_Ganganagar
1472,RJ_Bikaner,RJ_Hanumangarh
1473,RJ_Bikaner,RJ_Jaisalmer
1474,RJ_Bikaner,RJ_Jodhpur
1475,RJ_Bikaner,RJ_Nagaur
1476,RJ_Bundi,RJ_Chittorgarh
1477,RJ_Bundi,RJ_Kota
1478,RJ_Bundi,RJ_Sawai Madhopur
1479,RJ_Bundi,RJ_Tonk
1480,RJ_Chittorgarh,RJ_Kota
1481,RJ_Chittorgarh,RJ_Pratapgarh
1482,RJ_Chittorgarh,RJ_Rajsamand
1483,RJ_Chittorgarh,RJ_Udaipur
1484,RJ_Churu,RJ_Hanumangarh
1485,RJ_Churu,RJ_Jhunjhunu
1486,RJ_Churu,RJ_Nagaur
1487,RJ_Churu,RJ_Sikar
1488,RJ_Dausa,RJ_Jaipur
1489,RJ_Dausa,RJ_Karauli
1490,RJ_Dausa,RJ_Sawai Madhopur
1491,RJ_Dausa,RJ_Tonk
1492,RJ_Dholpur,RJ_Karauli
1493,RJ_Dholpur,UP_Agra
1494,RJ_Dungarpur,RJ_Pratapgarh
1495,RJ_Dungarpur,RJ_Udaipur
1496,RJ_Ganganagar,RJ_Hanumangarh
1497,RJ_Jaipur,RJ_Nagaur
1498,RJ_Jaipur,RJ_Sikar
1499,RJ_Jaipur,RJ_Tonk
1500,RJ_Jaisalmer,RJ_Jodhpur
1501,RJ_Jalore,RJ_Pali
1502,RJ_Jalore,RJ_Sirohi
1503,RJ_Jhalawar,RJ_Kota
1504,RJ_Jhunjhunu,RJ_Sikar
1505,RJ_Jodhpur,RJ_Nagaur
1506,RJ_Jodhpur,RJ_Pali
1507,RJ_Karauli,RJ_Sawai Madhopur
1508,RJ_Kota,RJ_Sawai Madhopur
1509,RJ_Nagaur,RJ_Pali
1510,RJ_Nagaur,RJ_Sikar
1511,RJ_Pali,RJ_Rajsamand
1512,RJ_Pali,RJ_Sirohi
1513,RJ_Pali,RJ_Udaipur
1514,RJ_Pratapgarh,RJ_Udaipur
1515,RJ_Rajsamand,RJ_Udaipur
1516,RJ_Sawai Madhopur,RJ_Tonk
1517,RJ_Sirohi,RJ_Udaipur
1518,SK_East Sikkim,SK_North Sikkim
1519,SK_East Sikkim,SK_South Sikkim
1520,SK_East Sikkim,WB_Kalimpong
1521,SK_North Sikkim,SK_South Sikkim
1522,SK_North Sikkim,SK_West Sikkim
1523,SK_South Sikkim,SK_West Sikkim
1524,SK_South Sikkim,WB_Darjeeling
1525,SK_South Sikkim,WB_Kalimpong
1526,SK_West Sikkim,WB_Darjeeling
1527,TG_Adilabad,TG_Komaram Bheem
1528,TG_Adilabad,TG_Nirmal
1529,TG_Bhadradri Kothagudem,CT_Bijapur
1530,TG_Bhadradri Kothagudem,TG_Khammam
1531,TG_Bhadradri Kothagudem,TG_Mahabubabad
1532,TG_Bhadradri Kothagudem,TG_Mulugu
1533,TG_Hyderabad,TG_Medchal Malkajgiri
1534,TG_Hyderabad,TG_Ranga Reddy
1535,TG_Jagtial,TG_Karimnagar
1536,TG_Jagtial,TG_Mancherial
1537,TG_Jagtial,TG_Nirmal
1538,TG_Jagtial,TG_Nizamabad
1539,TG_Jagtial,TG_Peddapalli
1540,TG_Jagtial,TG_Rajanna Sircilla
1541,TG_Jangaon,TG_Mahabubabad
1542,TG_Jangaon,TG_Siddipet
1543,TG_Jangaon,TG_Suryapet
1544,TG_Jangaon,TG_Warangal Rural
1545,TG_Jangaon,TG_Warangal Urban
1546,TG_Jangaon,TG_Yadadri Bhuvanagiri
1547,TG_Jayashankar Bhupalapally,CT_Bijapur
1548,TG_Jayashankar Bhupalapally,TG_Karimnagar
1549,TG_Jayashankar Bhupalapally,TG_Mancherial
1550,TG_Jayashankar Bhupalapally,TG_Mulugu
1551,TG_Jayashankar Bhupalapally,TG_Peddapalli
1552,TG_Jayashankar Bhupalapally,TG_Warangal Rural
1553,TG_Jayashankar Bhupalapally,TG_Warangal Urban
1554,TG_Jogulamba Gadwal,TG_Narayanpet
1555,TG_Jogulamba Gadwal,TG_Wanaparthy
1556,TG_Kamareddy,TG_Medak
1557,TG_Kamareddy,TG_Nizamabad
1558,TG_Kamareddy,TG_Rajanna Sircilla
1559,TG_Kamareddy,TG_Sangareddy
1560,TG_Kamareddy,TG_Siddipet
1561,TG_Karimnagar,TG_Peddapalli
1562,TG_Karimnagar,TG_Rajanna Sircilla
1563,TG_Karimnagar,TG_Siddipet
1564,TG_Karimnagar,TG_Warangal Urban
1565,TG_Khammam,TG_Mahabubabad
1566,TG_Khammam,TG_Suryapet
1567,TG_Komaram Bheem,TG_Mancherial
1568,TG_Komaram Bheem,TG_Nirmal
1569,TG_Mahabubabad,TG_Mulugu
1570,TG_Mahabubabad,TG_Suryapet
1571,TG_Mahabubabad,TG_Warangal Rural
1572,TG_Mahabubnagar,TG_Nagarkurnool
1573,TG_Mahabubnagar,TG_Narayanpet
1574,TG_Mahabubnagar,TG_Ranga Reddy
1575,TG_Mahabubnagar,TG_Vikarabad
1576,TG_Mahabubnagar,TG_Wanaparthy
1577,TG_Mancherial,TG_Nirmal
1578,TG_Mancherial,TG_Peddapalli
1579,TG_Medak,TG_Medchal Malkajgiri
1580,TG_Medak,TG_Sangareddy
1581,TG_Medak,TG_Siddipet
1582,TG_Medchal Malkajgiri,TG_Ranga Reddy
1583,TG_Medchal Malkajgiri,TG_Sangareddy
1584,TG_Medchal Malkajgiri,TG_Siddipet
1585,TG_Medchal Malkajgiri,TG_Yadadri Bhuvanagiri
1586,TG_Mulugu,CT_Bijapur
1587,TG_Mulugu,TG_Warangal Rural
1588,TG_Nagarkurnool,TG_Nalgonda
1589,TG_Nagarkurnool,TG_Ranga Reddy
1590,TG_Nagarkurnool,TG_Wanaparthy
1591,TG_Nalgonda,TG_Ranga Reddy
1592,TG_Nalgonda,TG_Suryapet
1593,TG_Nalgonda,TG_Yadadri Bhuvanagiri
1594,TG_Narayanpet,TG_Vikarabad
1595,TG_Narayanpet,TG_Wanaparthy
1596,TG_Nirmal,TG_Nizamabad
1597,TG_Nizamabad,TG_Rajanna Sircilla
1598,TG_Rajanna Sircilla,TG_Siddipet
1599,TG_Ranga Reddy,TG_Sangareddy
1600,TG_Ranga Reddy,TG_Vikarabad
1601,TG_Ranga Reddy,TG_Yadadri Bhuvanagiri
1602,TG_Sangareddy,TG_Vikarabad
1603,TG_Siddipet,TG_Warangal Urban
1604,TG_Siddipet,TG_Yadadri Bhuvanagiri
1605,TG_Suryapet,TG_Yadadri Bhuvanagiri
1606,TG_Warangal Rural,TG_Warangal Urban
1607,TN_Ariyalur,TN_Cuddalore
1608,TN_Ariyalur,TN_Perambalur
1609,TN_Ariyalur,TN_Thanjavur
1610,TN_Ariyalur,TN_Tiruchirappalli
1611,TN_Chennai,TN_Kancheepuram
1612,TN_Chennai,TN_Thiruvallur
1613,TN_Coimbatore,TN_Erode
1614,TN_Coimbatore,TN_Nilgiris
1615,TN_Coimbatore,TN_Tiruppur
1616,TN_Cuddalore,TN_Kallakurichi
1617,TN_Cuddalore,TN_Nagapattinam
1618,TN_Cuddalore,TN_Perambalur
1619,TN_Cuddalore,TN_Thanjavur
1620,TN_Cuddalore,TN_Viluppuram
1621,TN_Dharmapuri,TN_Erode
1622,TN_Dharmapuri,TN_Kallakurichi
1623,TN_Dharmapuri,TN_Krishnagiri
1624,TN_Dharmapuri,TN_Salem
1625,TN_Dharmapuri,TN_Tiruvannamalai
1626,TN_Dindigul,TN_Karur
1627,TN_Dindigul,TN_Madurai
1628,TN_Dindigul,TN_Theni
1629,TN_Dindigul,TN_Tiruchirappalli
1630,TN_Dindigul,TN_Tiruppur
1631,TN_Erode,TN_Karur
1632,TN_Erode,TN_Namakkal
1633,TN_Erode,TN_Nilgiris
1634,TN_Erode,TN_Salem
1635,TN_Erode,TN_Tiruppur
1636,TN_Kallakurichi,TN_Perambalur
1637,TN_Kallakurichi,TN_Salem
1638,TN_Kallakurichi,TN_Tiruvannamalai
1639,TN_Kallakurichi,TN_Viluppuram
1640,TN_Kancheepuram,TN_Thiruvallur
1641,TN_Kancheepuram,TN_Tiruvannamalai
1642,TN_Kancheepuram,TN_Vellore
1643,TN_Kancheepuram,TN_Viluppuram
1644,TN_Kanyakumari,TN_Tirunelveli
1645,TN_Karur,TN_Namakkal
1646,TN_Karur,TN_Tiruchirappalli
1647,TN_Karur,TN_Tiruppur
1648,TN_Krishnagiri,TN_Tiruvannamalai
1649,TN_Krishnagiri,TN_Vellore
1650,TN_Madurai,TN_Sivaganga
1651,TN_Madurai,TN_Theni
1652,TN_Madurai,TN_Tiruchirappalli
1653,TN_Madurai,TN_Virudhunagar
1654,TN_Nagapattinam,TN_Thanjavur
1655,TN_Nagapattinam,TN_Thiruvarur
1656,TN_Namakkal,TN_Salem
1657,TN_Namakkal,TN_Tiruchirappalli
1658,TN_Perambalur,TN_Salem
1659,TN_Perambalur,TN_Tiruchirappalli
1660,TN_Pudukkottai,TN_Ramanathapuram
1661,TN_Pudukkottai,TN_Sivaganga
1662,TN_Pudukkottai,TN_Thanjavur
1663,TN_Pudukkottai,TN_Tiruchirappalli
1664,TN_Ramanathapuram,TN_Sivaganga
1665,TN_Ramanathapuram,TN_Thoothukkudi
1666,TN_Ramanathapuram,TN_Virudhunagar
1667,TN_Salem,TN_Tiruchirappalli
1668,TN_Sivaganga,TN_Tiruchirappalli
1669,TN_Sivaganga,TN_Virudhunagar
1670,TN_Thanjavur,TN_Thiruvarur
1671,TN_Thanjavur,TN_Tiruchirappalli
1672,TN_Theni,TN_Virudhunagar
1673,TN_Thiruvallur,TN_Vellore
1674,TN_Thoothukkudi,TN_Tirunelveli
1675,TN_Thoothukkudi,TN_Virudhunagar
1676,TN_Tirunelveli,TN_Virudhunagar
1677,TN_Tiruvannamalai,TN_Vellore
1678,TN_Tiruvannamalai,TN_Viluppuram
1679,TR_Dhalai,TR_Gomati
1680,TR_Dhalai,TR_Khowai
1681,TR_Dhalai,TR_North Tripura
1682,TR_Dhalai,TR_Unokoti
1683,TR_Gomati,TR_Khowai
1684,TR_Gomati,TR_Sipahijala
1685,TR_Gomati,TR_South Tripura
1686,TR_Khowai,TR_Sipahijala
1687,TR_Khowai,TR_West Tripura
1688,TR_North Tripura,TR_Unokoti
1689,TR_Sipahijala,TR_South Tripura
1690,TR_Sipahijala,TR_West Tripura
1691,UP_Agra,UP_Etah
1692,UP_Agra,UP_Etawah
1693,UP_Agra,UP_Firozabad
1694,UP_Agra,UP_Hathras
1695,UP_Agra,UP_Mathura
1696,UP_Aligarh,UP_Budaun
1697,UP_Aligarh,UP_Bulandshahr
1698,UP_Aligarh,UP_Gautam Buddha Nagar
1699,UP_Aligarh,UP_Hathras
1700,UP_Aligarh,UP_Kasganj
1701,UP_Aligarh,UP_Mathura
1702,UP_Aligarh,UP_Sambhal
1703,UP_Ambedkar Nagar,UP_Ayodhya
1704,UP_Ambedkar Nagar,UP_Azamgarh
1705,UP_Ambedkar Nagar,UP_Basti
1706,UP_Ambedkar Nagar,UP_Gorakhpur
1707,UP_Ambedkar Nagar,UP_Sant Kabir Nagar
1708,UP_Ambedkar Nagar,UP_Sultanpur
1709,UP_Amethi,UP_Ayodhya
1710,UP_Amethi,UP_Barabanki
1711,UP_Amethi,UP_Pratapgarh
1712,UP_Amethi,UP_Rae Bareli
1713,UP_Amethi,UP_Sultanpur
1714,UP_Amroha,UP_Bijnor
1715,UP_Amroha,UP_Bulandshahr
1716,UP_Amroha,UP_Hapur
1717,UP_Amroha,UP_Meerut
1718,UP_Amroha,UP_Moradabad
1719,UP_Amroha,UP_Sambhal
1720,UP_Auraiya,UP_Etawah
1721,UP_Auraiya,UP_Jalaun
1722,UP_Auraiya,UP_Kannauj
1723,UP_Auraiya,UP_Kanpur Dehat
1724,UP_Ayodhya,UP_Barabanki
1725,UP_Ayodhya,UP_Basti
1726,UP_Ayodhya,UP_Gonda
1727,UP_Ayodhya,UP_Sultanpur
1728,UP_Azamgarh,UP_Ghazipur
1729,UP_Azamgarh,UP_Gorakhpur
1730,UP_Azamgarh,UP_Jaunpur
1731,UP_Azamgarh,UP_Mau
1732,UP_Azamgarh,UP_Sultanpur
1733,UP_Baghpat,UP_Ghaziabad
1734,UP_Baghpat,UP_Meerut
1735,UP_Baghpat,UP_Muzaffarnagar
1736,UP_Baghpat,UP_Shamli
1737,UP_Bahraich,UP_Barabanki
1738,UP_Bahraich,UP_Gonda
1739,UP_Bahraich,UP_Lakhimpur Kheri
1740,UP_Bahraich,UP_Shrawasti
1741,UP_Bahraich,UP_Sitapur
1742,UP_Ballia,UP_Deoria
1743,UP_Ballia,UP_Ghazipur
1744,UP_Ballia,UP_Mau
1745,UP_Balrampur,UP_Gonda
1746,UP_Balrampur,UP_Shrawasti
1747,UP_Balrampur,UP_Siddharthnagar
1748,UP_Banda,UP_Chitrakoot
1749,UP_Banda,UP_Fatehpur
1750,UP_Banda,UP_Hamirpur
1751,UP_Banda,UP_Mahoba
1752,UP_Barabanki,UP_Gonda
1753,UP_Barabanki,UP_Lucknow
1754,UP_Barabanki,UP_Rae Bareli
1755,UP_Barabanki,UP_Sitapur
1756,UP_Bareilly,UP_Budaun
1757,UP_Bareilly,UP_Pilibhit
1758,UP_Bareilly,UP_Rampur
1759,UP_Bareilly,UP_Shahjahanpur
1760,UP_Bareilly,UT_Udham Singh Nagar
1761,UP_Basti,UP_Gonda
1762,UP_Basti,UP_Sant Kabir Nagar
1763,UP_Basti,UP_Siddharthnagar
1764,UP_Bhadohi,UP_Jaunpur
1765,UP_Bhadohi,UP_Mirzapur
1766,UP_Bhadohi,UP_Prayagraj
1767,UP_Bhadohi,UP_Varanasi
1768,UP_Bijnor,UP_Meerut
1769,UP_Bijnor,UP_Moradabad
1770,UP_Bijnor,UP_Muzaffarnagar
1771,UP_Bijnor,UT_Haridwar
1772,UP_Bijnor,UT_Nainital
1773,UP_Bijnor,UT_Pauri Garhwal
1774,UP_Bijnor,UT_Udham Singh Nagar
1775,UP_Budaun,UP_Farrukhabad
1776,UP_Budaun,UP_Kasganj
1777,UP_Budaun,UP_Moradabad
1778,UP_Budaun,UP_Rampur
1779,UP_Budaun,UP_Sambhal
1780,UP_Budaun,UP_Shahjahanpur
1781,UP_Bulandshahr,UP_Gautam Buddha Nagar
1782,UP_Bulandshahr,UP_Hapur
1783,UP_Bulandshahr,UP_Sambhal
1784,UP_Chandauli,UP_Ghazipur
1785,UP_Chandauli,UP_Mirzapur
1786,UP_Chandauli,UP_Sonbhadra
1787,UP_Chandauli,UP_Varanasi
1788,UP_Chitrakoot,UP_Fatehpur
1789,UP_Chitrakoot,UP_Kaushambi
1790,UP_Chitrakoot,UP_Prayagraj
1791,UP_Deoria,UP_Gorakhpur
1792,UP_Deoria,UP_Kushinagar
1793,UP_Deoria,UP_Mau
1794,UP_Etah,UP_Farrukhabad
1795,UP_Etah,UP_Firozabad
1796,UP_Etah,UP_Hathras
1797,UP_Etah,UP_Kasganj
1798,UP_Etah,UP_Mainpuri
1799,UP_Etawah,UP_Firozabad
1800,UP_Etawah,UP_Jalaun
1801,UP_Etawah,UP_Kannauj
1802,UP_Etawah,UP_Mainpuri
1803,UP_Farrukhabad,UP_Hardoi
1804,UP_Farrukhabad,UP_Kannauj
1805,UP_Farrukhabad,UP_Kasganj
1806,UP_Farrukhabad,UP_Mainpuri
1807,UP_Farrukhabad,UP_Shahjahanpur
1808,UP_Fatehpur,UP_Hamirpur
1809,UP_Fatehpur,UP_Kanpur Nagar
1810,UP_Fatehpur,UP_Kaushambi
1811,UP_Fatehpur,UP_Pratapgarh
1812,UP_Fatehpur,UP_Rae Bareli
1813,UP_Fatehpur,UP_Unnao
1814,UP_Firozabad,UP_Mainpuri
1815,UP_Gautam Buddha Nagar,UP_Ghaziabad
1816,UP_Gautam Buddha Nagar,UP_Hapur
1817,UP_Ghaziabad,UP_Hapur
1818,UP_Ghaziabad,UP_Meerut
1819,UP_Ghazipur,UP_Jaunpur
1820,UP_Ghazipur,UP_Mau
1821,UP_Ghazipur,UP_Varanasi
1822,UP_Gonda,UP_Shrawasti
1823,UP_Gonda,UP_Siddharthnagar
1824,UP_Gorakhpur,UP_Kushinagar
1825,UP_Gorakhpur,UP_Maharajganj
1826,UP_Gorakhpur,UP_Mau
1827,UP_Gorakhpur,UP_Sant Kabir Nagar
1828,UP_Gorakhpur,UP_Siddharthnagar
1829,UP_Hamirpur,UP_Jalaun
1830,UP_Hamirpur,UP_Jhansi
1831,UP_Hamirpur,UP_Kanpur Dehat
1832,UP_Hamirpur,UP_Kanpur Nagar
1833,UP_Hamirpur,UP_Mahoba
1834,UP_Hapur,UP_Meerut
1835,UP_Hardoi,UP_Kannauj
1836,UP_Hardoi,UP_Kanpur Nagar
1837,UP_Hardoi,UP_Lakhimpur Kheri
1838,UP_Hardoi,UP_Lucknow
1839,UP_Hardoi,UP_Shahjahanpur
1840,UP_Hardoi,UP_Sitapur
1841,UP_Hardoi,UP_Unnao
1842,UP_Hathras,UP_Kasganj
1843,UP_Hathras,UP_Mathura
1844,UP_Jalaun,UP_Jhansi
1845,UP_Jalaun,UP_Kanpur Dehat
1846,UP_Jaunpur,UP_Pratapgarh
1847,UP_Jaunpur,UP_Prayagraj
1848,UP_Jaunpur,UP_Sultanpur
1849,UP_Jaunpur,UP_Varanasi
1850,UP_Jhansi,UP_Lalitpur
1851,UP_Jhansi,UP_Mahoba
1852,UP_Kannauj,UP_Kanpur Dehat
1853,UP_Kannauj,UP_Kanpur Nagar
1854,UP_Kannauj,UP_Mainpuri
1855,UP_Kanpur Dehat,UP_Kanpur Nagar
1856,UP_Kanpur Nagar,UP_Unnao
1857,UP_Kaushambi,UP_Pratapgarh
1858,UP_Kaushambi,UP_Prayagraj
1859,UP_Kaushambi,UP_Rae Bareli
1860,UP_Kushinagar,UP_Maharajganj
1861,UP_Lakhimpur Kheri,UP_Pilibhit
1862,UP_Lakhimpur Kheri,UP_Shahjahanpur
1863,UP_Lakhimpur Kheri,UP_Sitapur
1864,UP_Lucknow,UP_Rae Bareli
1865,UP_Lucknow,UP_Sitapur
1866,UP_Lucknow,UP_Unnao
1867,UP_Maharajganj,UP_Siddharthnagar
1868,UP_Meerut,UP_Muzaffarnagar
1869,UP_Mirzapur,UP_Prayagraj
1870,UP_Mirzapur,UP_Sonbhadra
1871,UP_Mirzapur,UP_Varanasi
1872,UP_Moradabad,UP_Rampur
1873,UP_Moradabad,UP_Sambhal
1874,UP_Moradabad,UT_Udham Singh Nagar
1875,UP_Muzaffarnagar,UP_Saharanpur
1876,UP_Muzaffarnagar,UP_Shamli
1877,UP_Muzaffarnagar,UT_Haridwar
1878,UP_Pilibhit,UP_Shahjahanpur
1879,UP_Pilibhit,UT_Udham Singh Nagar
1880,UP_Pratapgarh,UP_Prayagraj
1881,UP_Pratapgarh,UP_Rae Bareli
1882,UP_Pratapgarh,UP_Sultanpur
1883,UP_Rae Bareli,UP_Unnao
1884,UP_Rampur,UT_Udham Singh Nagar
1885,UP_Saharanpur,UP_Shamli
1886,UP_Saharanpur,UT_Dehradun
1887,UP_Saharanpur,UT_Haridwar
1888,UP_Sant Kabir Nagar,UP_Siddharthnagar
1889,UT_Almora,UT_Bageshwar
1890,UT_Almora,UT_Chamoli
1891,UT_Almora,UT_Champawat
1892,UT_Almora,UT_Nainital
1893,UT_Almora,UT_Pauri Garhwal
1894,UT_Almora,UT_Pithoragarh
1895,UT_Bageshwar,UT_Chamoli
1896,UT_Bageshwar,UT_Pithoragarh
1897,UT_Chamoli,UT_Pauri Garhwal
1898,UT_Chamoli,UT_Pithoragarh
1899,UT_Chamoli,UT_Rudraprayag
1900,UT_Chamoli,UT_Uttarkashi
1901,UT_Champawat,UT_Nainital
1902,UT_Champawat,UT_Pithoragarh
1903,UT_Champawat,UT_Udham Singh Nagar
1904,UT_Dehradun,UT_Haridwar
1905,UT_Dehradun,UT_Pauri Garhwal
1906,UT_Dehradun,UT_Tehri Garhwal
1907,UT_Dehradun,UT_Uttarkashi
1908,UT_Haridwar,UT_Pauri Garhwal
1909,UT_Nainital,UT_Pauri Garhwal
1910,UT_Nainital,UT_Udham Singh Nagar
1911,UT_Pauri Garhwal,UT_Rudraprayag
1912,UT_Pauri Garhwal,UT_Tehri Garhwal
1913,UT_Rudraprayag,UT_Tehri Garhwal
1914,UT_Rudraprayag,UT_Uttarkashi
1915,UT_Tehri Garhwal,UT_Uttarkashi
1916,WB_Alipurduar,WB_Cooch Behar
1917,WB_Alipurduar,WB_Jalpaiguri
1918,WB_Bankura,WB_Hooghly
1919,WB_Bankura,WB_Jhargram
1920,WB_Bankura,WB_Paschim Bardhaman
1921,WB_Bankura,WB_Paschim Medinipur
1922,WB_Bankura,WB_Purba Bardhaman
1923,WB_Bankura,WB_Purulia
1924,WB_Birbhum,WB_Murshidabad
1925,WB_Birbhum,WB_Paschim Bardhaman
1926,WB_Birbhum,WB_Purba Bardhaman
1927,WB_Cooch Behar,WB_Jalpaiguri
1928,WB_Dakshin Dinajpur,WB_Malda
1929,WB_Dakshin Dinajpur,WB_Uttar Dinajpur
1930,WB_Darjeeling,WB_Jalpaiguri
1931,WB_Darjeeling,WB_Kalimpong
1932,WB_Darjeeling,WB_Uttar Dinajpur
